timestamp,forecast_reading,step,minutes_ahead
2025-10-09 00:00:00,7.396396,1,0.0
2025-10-09 00:00:05,16.167843,2,0.08
2025-10-09 00:00:10,23.11941,3,0.17
2025-10-09 00:00:15,32.67778,4,0.25
2025-10-09 00:00:20,38.59337,5,0.33
2025-10-09 00:00:25,39.278206,6,0.42
2025-10-09 00:00:30,41.35212,7,0.5
2025-10-09 00:00:35,42.485504,8,0.58
2025-10-09 00:00:40,42.929874,9,0.67
2025-10-09 00:00:45,44.809746,10,0.75
2025-10-09 00:00:50,48.94672,11,0.83
2025-10-09 00:00:55,51.855396,12,0.92
2025-10-09 00:01:00,54.591194,13,1.0
2025-10-09 00:01:05,57.86742,14,1.08
2025-10-09 00:01:10,60.57808,15,1.17
2025-10-09 00:01:15,62.12605,16,1.25
2025-10-09 00:01:20,63.133743,17,1.33
2025-10-09 00:01:25,63.75586,18,1.42
2025-10-09 00:01:30,64.83647,19,1.5
2025-10-09 00:01:35,65.71786,20,1.58
2025-10-09 00:01:40,66.35059,21,1.67
2025-10-09 00:01:45,67.30544,22,1.75
2025-10-09 00:01:50,67.47582,23,1.83
2025-10-09 00:01:55,67.77738,24,1.92
2025-10-09 00:02:00,67.25556,25,2.0
2025-10-09 00:02:05,66.48314,26,2.08
2025-10-09 00:02:10,66.396286,27,2.17
2025-10-09 00:02:15,66.3813,28,2.25
2025-10-09 00:02:20,66.354744,29,2.33
2025-10-09 00:02:25,65.85733,30,2.42
2025-10-09 00:02:30,65.684425,31,2.5
2025-10-09 00:02:35,64.78214,32,2.58
2025-10-09 00:02:40,62.137714,33,2.67
2025-10-09 00:02:45,60.799904,34,2.75
2025-10-09 00:02:50,59.62776,35,2.83
2025-10-09 00:02:55,59.7661,36,2.92
2025-10-09 00:03:00,59.492588,37,3.0
2025-10-09 00:03:05,59.26227,38,3.08
2025-10-09 00:03:10,59.311,39,3.17
2025-10-09 00:03:15,58.53076,40,3.25
2025-10-09 00:03:20,58.3862,41,3.33
2025-10-09 00:03:25,58.35959,42,3.42
2025-10-09 00:03:30,58.353565,43,3.5
2025-10-09 00:03:35,58.122334,44,3.58
2025-10-09 00:03:40,58.244038,45,3.67
2025-10-09 00:03:45,58.084305,46,3.75
2025-10-09 00:03:50,58.02599,47,3.83
2025-10-09 00:03:55,58.24335,48,3.92
2025-10-09 00:04:00,58.27844,49,4.0
2025-10-09 00:04:05,58.217503,50,4.08
2025-10-09 00:04:10,58.070614,51,4.17
2025-10-09 00:04:15,58.06653,52,4.25
2025-10-09 00:04:20,58.031475,53,4.33
2025-10-09 00:04:25,57.955315,54,4.42
2025-10-09 00:04:30,57.911083,55,4.5
2025-10-09 00:04:35,57.90232,56,4.58
2025-10-09 00:04:40,57.691235,57,4.67
2025-10-09 00:04:45,57.882305,58,4.75
2025-10-09 00:04:50,57.72989,59,4.83
2025-10-09 00:04:55,57.71398,60,4.92
2025-10-09 00:05:00,57.03028,61,5.0
2025-10-09 00:05:05,55.864838,62,5.08
2025-10-09 00:05:10,55.998325,63,5.17
2025-10-09 00:05:15,55.84701,64,5.25
2025-10-09 00:05:20,55.789894,65,5.33
2025-10-09 00:05:25,55.212513,66,5.42
2025-10-09 00:05:30,54.12804,67,5.5
2025-10-09 00:05:35,54.25625,68,5.58
2025-10-09 00:05:40,54.253983,69,5.67
2025-10-09 00:05:45,54.16118,70,5.75
2025-10-09 00:05:50,53.764423,71,5.83
2025-10-09 00:05:55,51.799427,72,5.92
2025-10-09 00:06:00,51.739662,73,6.0
2025-10-09 00:06:05,50.02371,74,6.08
2025-10-09 00:06:10,49.338432,75,6.17
2025-10-09 00:06:15,48.733,76,6.25
2025-10-09 00:06:20,49.315243,77,6.33
2025-10-09 00:06:25,47.625057,78,6.42
2025-10-09 00:06:30,47.432762,79,6.5
2025-10-09 00:06:35,47.46278,80,6.58
2025-10-09 00:06:40,47.514885,81,6.67
2025-10-09 00:06:45,47.469704,82,6.75
2025-10-09 00:06:50,48.24334,83,6.83
2025-10-09 00:06:55,48.103535,84,6.92
2025-10-09 00:07:00,48.27727,85,7.0
2025-10-09 00:07:05,48.20729,86,7.08
2025-10-09 00:07:10,47.082283,87,7.17
2025-10-09 00:07:15,47.953327,88,7.25
2025-10-09 00:07:20,46.99144,89,7.33
2025-10-09 00:07:25,46.40424,90,7.42
2025-10-09 00:07:30,45.728973,91,7.5
2025-10-09 00:07:35,44.261963,92,7.58
2025-10-09 00:07:40,44.535263,93,7.67
2025-10-09 00:07:45,44.487625,94,7.75
2025-10-09 00:07:50,44.45528,95,7.83
2025-10-09 00:07:55,44.470585,96,7.92
2025-10-09 00:08:00,44.35651,97,8.0
2025-10-09 00:08:05,45.162636,98,8.08
2025-10-09 00:08:10,44.57806,99,8.17
2025-10-09 00:08:15,45.158424,100,8.25
2025-10-09 00:08:20,45.344276,101,8.33
2025-10-09 00:08:25,45.88154,102,8.42
2025-10-09 00:08:30,45.758564,103,8.5
2025-10-09 00:08:35,44.87007,104,8.58
2025-10-09 00:08:40,44.81305,105,8.67
2025-10-09 00:08:45,44.687645,106,8.75
2025-10-09 00:08:50,44.687645,107,8.83
2025-10-09 00:08:55,43.06171,108,8.92
2025-10-09 00:09:00,42.165,109,9.0
2025-10-09 00:09:05,39.97348,110,9.08
2025-10-09 00:09:10,39.960537,111,9.17
2025-10-09 00:09:15,41.525543,112,9.25
2025-10-09 00:09:20,40.88989,113,9.33
2025-10-09 00:09:25,42.62379,114,9.42
2025-10-09 00:09:30,42.813396,115,9.5
2025-10-09 00:09:35,42.12962,116,9.58
2025-10-09 00:09:40,42.166317,117,9.67
2025-10-09 00:09:45,42.41485,118,9.75
2025-10-09 00:09:50,42.01351,119,9.83
2025-10-09 00:09:55,42.135654,120,9.92
2025-10-09 00:10:00,41.987633,121,10.0
2025-10-09 00:10:05,41.70702,122,10.08
2025-10-09 00:10:10,41.79139,123,10.17
2025-10-09 00:10:15,41.79139,124,10.25
2025-10-09 00:10:20,41.701477,125,10.33
2025-10-09 00:10:25,41.701477,126,10.42
2025-10-09 00:10:30,41.876637,127,10.5
2025-10-09 00:10:35,41.876637,128,10.58
2025-10-09 00:10:40,41.754745,129,10.67
2025-10-09 00:10:45,41.426964,130,10.75
2025-10-09 00:10:50,41.49119,131,10.83
2025-10-09 00:10:55,41.426964,132,10.92
2025-10-09 00:11:00,41.419624,133,11.0
2025-10-09 00:11:05,41.426254,134,11.08
2025-10-09 00:11:10,41.433327,135,11.17
2025-10-09 00:11:15,41.433327,136,11.25
2025-10-09 00:11:20,41.433327,137,11.33
2025-10-09 00:11:25,41.433327,138,11.42
2025-10-09 00:11:30,41.433327,139,11.5
2025-10-09 00:11:35,41.433327,140,11.58
2025-10-09 00:11:40,41.29097,141,11.67
2025-10-09 00:11:45,41.433327,142,11.75
2025-10-09 00:11:50,41.380054,143,11.83
2025-10-09 00:11:55,41.3856,144,11.92
2025-10-09 00:12:00,41.380054,145,12.0
2025-10-09 00:12:05,41.380054,146,12.08
2025-10-09 00:12:10,41.380054,147,12.17
2025-10-09 00:12:15,41.380054,148,12.25
2025-10-09 00:12:20,41.380054,149,12.33
2025-10-09 00:12:25,41.12433,150,12.42
2025-10-09 00:12:30,41.119938,151,12.5
2025-10-09 00:12:35,41.137157,152,12.58
2025-10-09 00:12:40,41.137157,153,12.67
2025-10-09 00:12:45,41.122536,154,12.75
2025-10-09 00:12:50,41.137157,155,12.83
2025-10-09 00:12:55,41.13839,156,12.92
2025-10-09 00:13:00,41.122494,157,13.0
2025-10-09 00:13:05,41.15238,158,13.08
2025-10-09 00:13:10,41.15238,159,13.17
2025-10-09 00:13:15,41.15238,160,13.25
2025-10-09 00:13:20,41.15238,161,13.33
2025-10-09 00:13:25,41.15238,162,13.42
2025-10-09 00:13:30,40.995323,163,13.5
2025-10-09 00:13:35,41.086937,164,13.58
2025-10-09 00:13:40,41.08139,165,13.67
2025-10-09 00:13:45,41.08139,166,13.75
2025-10-09 00:13:50,41.072994,167,13.83
2025-10-09 00:13:55,41.074226,168,13.92
2025-10-09 00:14:00,41.074226,169,14.0
2025-10-09 00:14:05,40.970665,170,14.08
2025-10-09 00:14:10,40.965687,171,14.17
2025-10-09 00:14:15,40.910248,172,14.25
2025-10-09 00:14:20,40.967262,173,14.33
2025-10-09 00:14:25,40.844017,174,14.42
2025-10-09 00:14:30,40.968494,175,14.5
2025-10-09 00:14:35,40.913994,176,14.58
2025-10-09 00:14:40,40.956417,177,14.67
2025-10-09 00:14:45,41.071976,178,14.75
2025-10-09 00:14:50,41.05597,179,14.83
2025-10-09 00:14:55,41.085857,180,14.92
2025-10-09 00:15:00,41.086567,181,15.0
2025-10-09 00:15:05,40.999268,182,15.08
2025-10-09 00:15:10,41.086567,183,15.17
2025-10-09 00:15:15,41.086567,184,15.25
2025-10-09 00:15:20,41.086567,185,15.33
2025-10-09 00:15:25,41.086567,186,15.42
2025-10-09 00:15:30,41.086567,187,15.5
2025-10-09 00:15:35,41.086567,188,15.58
2025-10-09 00:15:40,41.086567,189,15.67
2025-10-09 00:15:45,41.086567,190,15.75
2025-10-09 00:15:50,41.086567,191,15.83
2025-10-09 00:15:55,41.06837,192,15.92
2025-10-09 00:16:00,41.06837,193,16.0
2025-10-09 00:16:05,41.028908,194,16.08
2025-10-09 00:16:10,41.086567,195,16.17
2025-10-09 00:16:15,41.086567,196,16.25
2025-10-09 00:16:20,40.78879,197,16.33
2025-10-09 00:16:25,40.804832,198,16.42
2025-10-09 00:16:30,40.84206,199,16.5
2025-10-09 00:16:35,40.69527,200,16.58
2025-10-09 00:16:40,40.75293,201,16.67
2025-10-09 00:16:45,40.63269,202,16.75
2025-10-09 00:16:50,40.63269,203,16.83
2025-10-09 00:16:55,40.63269,204,16.92
2025-10-09 00:17:00,40.301647,205,17.0
2025-10-09 00:17:05,40.18918,206,17.08
2025-10-09 00:17:10,40.301647,207,17.17
2025-10-09 00:17:15,40.301647,208,17.25
2025-10-09 00:17:20,40.301647,209,17.33
2025-10-09 00:17:25,40.301647,210,17.42
2025-10-09 00:17:30,40.301647,211,17.5
2025-10-09 00:17:35,40.301647,212,17.58
2025-10-09 00:17:40,40.301647,213,17.67
2025-10-09 00:17:45,40.27176,214,17.75
2025-10-09 00:17:50,40.38431,215,17.83
2025-10-09 00:17:55,40.301647,216,17.92
2025-10-09 00:18:00,40.326866,217,18.0
2025-10-09 00:18:05,40.273598,218,18.08
2025-10-09 00:18:10,40.273598,219,18.17
2025-10-09 00:18:15,40.26626,220,18.25
2025-10-09 00:18:20,40.215935,221,18.33
2025-10-09 00:18:25,40.273598,222,18.42
2025-10-09 00:18:30,40.273598,223,18.5
2025-10-09 00:18:35,40.273598,224,18.58
2025-10-09 00:18:40,40.273598,225,18.67
2025-10-09 00:18:45,40.273598,226,18.75
2025-10-09 00:18:50,40.273598,227,18.83
2025-10-09 00:18:55,40.27914,228,18.92
2025-10-09 00:19:00,40.273598,229,19.0
2025-10-09 00:19:05,40.273598,230,19.08
2025-10-09 00:19:10,40.138474,231,19.17
2025-10-09 00:19:15,40.23132,232,19.25
2025-10-09 00:19:20,40.225777,233,19.33
2025-10-09 00:19:25,40.22562,234,19.42
2025-10-09 00:19:30,40.225777,235,19.5
2025-10-09 00:19:35,40.225777,236,19.58
2025-10-09 00:19:40,40.080856,237,19.67
2025-10-09 00:19:45,40.10895,238,19.75
2025-10-09 00:19:50,40.116444,239,19.83
2025-10-09 00:19:55,40.116444,240,19.92
2025-10-09 00:20:00,40.116287,241,20.0
2025-10-09 00:20:05,40.116287,242,20.08
2025-10-09 00:20:10,40.116444,243,20.17
2025-10-09 00:20:15,40.110897,244,20.25
2025-10-09 00:20:20,40.116287,245,20.33
2025-10-09 00:20:25,40.058628,246,20.42
2025-10-09 00:20:30,40.116287,247,20.5
2025-10-09 00:20:35,40.116444,248,20.58
2025-10-09 00:20:40,40.116444,249,20.67
2025-10-09 00:20:45,39.95197,250,20.75
2025-10-09 00:20:50,39.919495,251,20.83
2025-10-09 00:20:55,39.919495,252,20.92
2025-10-09 00:21:00,39.919495,253,21.0
2025-10-09 00:21:05,40.04481,254,21.08
2025-10-09 00:21:10,40.03927,255,21.17
2025-10-09 00:21:15,40.03927,256,21.25
